Timestamp_seconds,Sample_V
1580423641.8897,0.000144630095877507
1580423641.8907,0.000150784568042517
1580423641.89171,0.000150784568042517
1580423641.89273,0.000150784568042517
1580423641.89373,0.000132321151547515
1580423641.89473,0.000132321151547515
1580423641.89573,0.000120012207217524
1580423641.89673,0.000132321151547515
1580423641.89773,0.000156939040207527
1580423641.89874,0.000163093512372536
1580423641.89974,0.000150784568042517
1580423641.90074,0.000113857735052514
1580423641.90174,0.000107703262887504
1580423641.90274,8.92398463925026e-05
1580423641.90374,8.92398463925026e-05
1580423641.90474,8.30853742275206e-05
1580423641.90574,8.30853742275206e-05
1580423641.90674,7.07764298975011e-05
1580423641.90774,7.07764298975011e-05
1580423641.90874,8.30853742275206e-05
1580423641.90974,7.69309020625109e-05
1580423641.91075,7.07764298975011e-05
1580423641.91175,6.46219577325191e-05
1580423641.91275,7.69309020625109e-05
1580423641.91375,7.69309020625109e-05
1580423641.91475,8.30853742275206e-05
1580423641.91575,9.53943185575123e-05
1580423641.91675,9.53943185575123e-05
1580423641.91775,0.000101548790722522
1580423641.91875,9.53943185575123e-05
1580423641.91975,0.000101548790722522
1580423641.92075,0.000101548790722522
1580423641.92176,0.000107703262887504
1580423641.92276,0.000107703262887504
1580423641.92376,0.000120012207217524
1580423641.92476,0.000120012207217524
1580423641.92576,0.000126166679382506
1580423641.92676,0.000120012207217524
1580423641.92776,0.000113857735052514
1580423641.92876,0.000113857735052514
1580423641.92976,0.000126166679382506
1580423641.93076,0.000120012207217524
1580423641.93176,0.000120012207217524
1580423641.93277,0.000113857735052514
1580423641.93377,0.000126166679382506
1580423641.93477,0.000126166679382506
1580423641.93577,0.000120012207217524
1580423641.93677,0.000113857735052514
1580423641.93777,0.000120012207217524
1580423641.93877,0.000120012207217524
1580423641.93977,0.000120012207217524
1580423641.94077,0.000120012207217524
1580423641.94177,0.000113857735052514
1580423641.94277,9.53943185575123e-05
1580423641.94377,9.53943185575123e-05
1580423641.94478,0.000101548790722522
1580423641.94578,0.000107703262887504
1580423641.94678,9.53943185575123e-05
1580423641.94778,0.000101548790722522
1580423641.94878,0.000113857735052514
1580423641.94978,0.000132321151547515
1580423641.95078,0.000120012207217524
1580423641.95178,0.000113857735052514
1580423641.95278,0.000126166679382506
1580423641.95378,0.000132321151547515
1580423641.95478,0.000113857735052514
1580423641.95579,0.000126166679382506
1580423641.95679,0.000120012207217524
1580423641.95779,0.000120012207217524
1580423641.95879,0.000107703262887504
1580423641.95979,0.000107703262887504
1580423641.96079,0.000120012207217524
1580423641.96179,0.000107703262887504
1580423641.96279,0.000113857735052514
1580423641.96379,0.000101548790722522
1580423641.96479,8.30853742275206e-05
1580423641.9658,0.000101548790722522
1580423641.9668,0.000101548790722522
1580423641.9678,0.000107703262887504
1580423641.9688,0.000113857735052514
1580423641.9698,0.000107703262887504
1580423641.9708,0.000113857735052514
1580423641.9718,0.000113857735052514
1580423641.9728,0.000113857735052514
1580423641.9738,0.000113857735052514
1580423641.9748,0.000107703262887504
1580423641.9758,0.000113857735052514
1580423641.9768,0.000107703262887504
1580423641.9778,0.000101548790722522
1580423641.97881,9.53943185575123e-05
1580423641.97981,0.000101548790722522
1580423641.98081,0.000107703262887504
1580423641.98181,0.000101548790722522
1580423641.98281,0.000107703262887504
1580423641.98381,0.000107703262887504
1580423641.98481,8.92398463925026e-05
1580423641.98581,8.30853742275206e-05
1580423641.98681,7.69309020625109e-05
1580423641.98781,7.69309020625109e-05
1580423641.98881,6.46219577325191e-05
1580423641.98982,4.61585412375176e-05
1580423641.99082,5.23130134024996e-05
1580423641.99182,4.61585412375176e-05
1580423641.99282,3.38495969074981e-05
1580423641.99382,2.76951247425161e-05
1580423641.99482,2.76951247425161e-05
1580423641.99582,2.76951247425161e-05
1580423641.99682,3.38495969074981e-05
1580423641.99782,6.46219577325191e-05
1580423641.99882,8.92398463925026e-05
1580423641.99983,0.000107703262887504
1580423642.00083,0.000120012207217524
1580423642.00183,0.000132321151547515
1580423642.00283,0.000132321151547515
1580423642.00383,0.000144630095877507
1580423642.00483,0.000138475623712525
1580423642.00583,0.000144630095877507
1580423642.00683,0.000156939040207527
1580423642.00783,0.000156939040207527
1580423642.00883,0.000163093512372536
1580423642.00983,0.000156939040207527
1580423642.01083,0.000144630095877507
1580423642.01183,0.000138475623712525
1580423642.01284,0.000132321151547515
1580423642.01384,0.000120012207217524
1580423642.01486,0.000120012207217524
1580423642.01586,0.000101548790722522
1580423642.01686,0.000101548790722522
1580423642.01786,8.92398463925026e-05
1580423642.01886,0.000132321151547515
1580423642.01987,0.000163093512372536
1580423642.02087,0.000169247984537518
1580423642.02187,0.000175402456702528
1580423642.02287,0.000175402456702528
1580423642.02387,0.000175402456702528
1580423642.02487,0.00019386587319753
1580423642.02587,0.000206174817527521
1580423642.02687,0.000200020345362539
1580423642.02787,0.00019386587319753
1580423642.02887,0.000169247984537518
1580423642.02988,0.000163093512372536
1580423642.03088,0.000163093512372536
1580423642.03188,0.000163093512372536
1580423642.03288,0.000169247984537518
1580423642.03388,0.000163093512372536
1580423642.03488,0.000163093512372536
1580423642.03588,0.000156939040207527
1580423642.03688,0.000144630095877507
1580423642.03788,0.000132321151547515
1580423642.03888,0.000126166679382506
1580423642.03988,0.000132321151547515
1580423642.04088,0.000138475623712525
1580423642.04188,0.000156939040207527
1580423642.04289,0.000163093512372536
1580423642.04389,0.000175402456702528
